run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
20,20,2017,30758999.999999996,300000.0,37997440.67529802,0,2964692.5,72021133.17529802
20,20,2018,30758999.999999996,300000.0,23535340.55110699,0,2663283.1,57257623.65110698
20,20,2019,30758999.999999996,300000.0,36388989.700321674,0,2120368.6,69568358.30032167
21,21,1999,30758999.999999996,300000.0,29316153.64054835,0,3911915.1,64287068.74054834
21,21,2000,30843271.23287671,300000.0,34341672.53425787,0,2640863.1,68125806.86713457
21,21,2001,30758999.999999996,300000.0,87630656.7160798,0,3190369.2,121880025.9160798
21,21,2002,30758999.999999996,300000.0,41599542.37612761,0,2874287.5,75532829.8761276
21,21,2003,30758999.999999996,300000.0,33983665.4778288,0,3709987.0,68752652.4778288
21,21,2004,30843271.23287671,300000.0,24269611.746423695,0,1642381.5999999999,57055264.5793004
21,21,2005,30758999.999999996,300000.0,23019005.428386327,0,2230479.2,56308484.628386326
21,21,2006,30758999.999999996,300000.0,28973130.37049277,0,3703714.6,63735844.970492765
21,21,2007,30758999.999999996,300000.0,28924652.43094207,0,1563195.6,61546848.03094207
21,21,2008,30843271.23287671,300000.0,42919545.94483059,0,3081610.4,77144427.5777073
21,21,2009,30758999.999999996,300000.0,29337367.352876253,0,2138377.6999999997,62534745.05287625
21,21,2010,30758999.999999996,300000.0,22830707.759866636,0,1999587.0,55889294.75986663
21,21,2011,30758999.999999996,300000.0,17103520.95928639,0,2358299.3000000003,50520820.25928639
21,21,2012,30843271.23287671,300000.0,27432080.173936225,0,1343437.6,59918789.00681294
21,21,2013,30758999.999999996,300000.0,33579642.73037037,0,3392470.8000000003,68031113.53037037
21,21,2014,30758999.999999996,300000.0,30438729.995759487,0,2424900.3000000003,63922630.295759484
21,21,2015,30758999.999999996,300000.0,23902882.48443601,0,1409601.6,56371484.08443601
21,21,2016,30843271.23287671,300000.0,30807466.56099774,0,2045576.6,63996314.39387445
21,21,2017,30758999.999999996,300000.0,33197861.074166104,0,2743798.5,67000659.574166104
21,21,2018,30758999.999999996,300000.0,18728294.95133805,0,2689854.2,52477149.15133805
21,21,2019,30758999.999999996,300000.0,22872029.758455206,0,2526588.6,56457618.3584552
22,22,1999,30758999.999999996,300000.0,19456752.996963356,0,1474327.4000000001,51990080.39696335
22,22,2000,30843271.23287671,300000.0,26747391.340565123,0,2790306.7,60680969.273441836
22,22,2001,30758999.999999996,300000.0,46527732.223084524,0,3074724.9,80661457.12308453
22,22,2002,30758999.999999996,300000.0,28756324.24477797,0,2212645.6,62027969.844777964
22,22,2003,30758999.999999996,300000.0,25083315.41800152,0,2774148.6,58916464.01800152
22,22,2004,30843271.23287671,300000.0,25943301.905666634,0,2093908.4,59180481.53854334
22,22,2005,30758999.999999996,300000.0,26013995.401060984,0,2000656.3,59073651.70106098
22,22,2006,30758999.999999996,300000.0,34871622.40133597,0,1885969.2000000002,67816591.60133597
22,22,2007,30758999.999999996,300000.0,35404249.13453681,0,4234743.2,70697992.3345368
22,22,2008,30843271.23287671,300000.0,20939879.343113877,0,1609020.9,53692171.475990586
22,22,2009,30758999.999999996,300000.0,27695275.091300655,0,2358094.2,61112369.291300654
22,22,2010,30758999.999999996,300000.0,24242684.366972845,0,1333521.5999999999,56635205.96697284
22,22,2011,30758999.999999996,300000.0,31533407.571575124,0,3594205.6,66186613.17157512
22,22,2012,30843271.23287671,300000.0,49545424.81991498,0,2710272.8000000003,83398968.8527917
22,22,2013,30758999.999999996,300000.0,42663180.408684574,0,3637756.4000000004,77359936.80868457
22,22,2014,30758999.999999996,300000.0,27189324.268850103,0,2828682.9,61077007.1688501
22,22,2015,30758999.999999996,300000.0,31940277.058366515,0,1427254.8,64426531.85836651
22,22,2016,30843271.23287671,300000.0,21221230.398974985,0,3460401.0,55824902.631851695
22,22,2017,30758999.999999996,300000.0,28528066.86754055,0,2055477.8,61642544.66754054
22,22,2018,30758999.999999996,300000.0,30091479.657250263,0,3458046.3000000003,64608525.95725026
22,22,2019,30758999.999999996,300000.0,25465452.345148742,0,2152646.9,58677099.24514874
23,23,1999,30758999.999999996,300000.0,33482728.81637294,0,2570909.9,67112638.71637294
23,23,2000,30843271.23287671,300000.0,24230965.687985595,0,2432718.8,57806955.72086231
23,23,2001,30758999.999999996,300000.0,45970693.278886884,0,2145131.5,79174824.77888688
23,23,2002,30758999.999999996,300000.0,37785875.586916685,0,2362214.3000000003,71207089.88691668
23,23,2003,30758999.999999996,300000.0,28204492.099170778,0,2544530.0,61808022.099170774
