run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Heavy Lift Vessel
30,30,2012,4190858.306752315,1172574.3985881046,1171774.548547017,1171773.4678616975,32536615.780017532
30,30,2013,4324409.760837963,1167778.4842423273,1168572.8799681761,1168576.4517789579,20506101.85185185
30,30,2014,24578151.694754153,1168579.295272553,1168582.827165854,1168580.9662893505,26125442.86372507
30,30,2015,4995137.012395834,1168577.6726298383,1168576.3341112828,1168572.6019978945,32736428.738412302
30,30,2016,6696877.581625,1171781.4072520214,1171776.8504871123,1171778.1940801921,49743686.709062465
30,30,2017,0.0,1168578.8711380532,1168580.4668045097,1168583.753169505,41006875.0
30,30,2018,3907786.167337963,1168584.8864478,1168585.6904930049,1168579.7774326624,18407656.07948145
30,30,2019,15374797.391300926,1168581.823645089,1168579.2797035296,1168580.1427988114,27167546.323915157
30,30,2020,4202922.459423611,1171789.4111810767,1171789.6299942946,1171789.5705212492,16249162.037037037
31,31,2000,4195829.675541666,1168568.5378884957,1168564.361861892,1168562.9398506524,8910388.888888888
31,31,2001,2604120.766226852,1168573.6479966298,1168573.1817045147,1168575.8879438771,32023642.43510855
31,31,2002,4276797.9486875,1168578.0245159876,1168577.0825913388,1168576.9291317,27182919.51771044
31,31,2003,0.0,1168581.6947502838,1168582.4845651903,1168581.6979968308,30178800.6858485
31,31,2004,3745958.4831365743,1171775.582424412,1171779.664946012,1171779.8424063742,16850847.222222224
31,31,2005,0.0,1168582.1519881813,1168579.8484841764,1168577.0649123972,56130877.436909586
31,31,2006,7494063.503386574,1168575.017092953,1168576.2765498117,1168580.262969717,34211673.27900352
31,31,2007,6276281.917497685,1168575.7592897366,1168578.3741266897,1168578.5058979816,33552919.052072447
31,31,2008,2443278.4235092592,1173380.5407456448,1173380.498473647,1171781.5949372074,54032532.98492381
31,31,2009,9898705.418091686,1166980.978736053,1166980.279340147,1168576.0671581626,18046638.32199735
31,31,2010,8919989.405886574,1168576.6099028357,1168574.880336235,1168580.6909786356,40294969.18997565
31,31,2011,7360785.600194444,1168576.2004826358,1168577.2629957392,1168573.1788549686,35109625.09644746
31,31,2012,7702810.7484976845,1172574.9436050975,1171771.2046016604,1171766.9813466917,26995272.946798794
31,31,2013,3798332.3139027776,1167774.9053711696,1168574.5782934278,1168705.9226597322,25744085.143247638
31,31,2014,6239419.517388205,1168577.0772880588,1168571.616113275,1168446.2609530678,35885479.33405485
31,31,2015,11855182.119333332,1168576.393943825,1168573.1140306185,1168575.8087670682,8303546.296296297
31,31,2016,5016451.651405092,1171784.447529683,1171784.2485448432,1171784.0792738877,36337329.00295264
31,31,2017,17912087.38557176,1168576.2912365317,1168578.515337694,1168578.1982277085,25341300.9393835
31,31,2018,9087477.918782407,1168582.379377656,1168585.4359292556,1168584.5362980803,15467288.64943066
31,31,2019,0.0,1168581.7126210346,1168584.400247058,1168581.1101347045,26908617.506178807
31,31,2020,3880391.9992870367,1171786.2883109907,1171787.055017838,1171786.540258455,47864287.25064743
32,32,2000,8661023.24112963,1168562.532463363,1168563.729958965,1168565.5919310998,49750228.05226473
32,32,2001,2554820.196009259,1168574.1003047281,1168572.5559873355,1168574.9803706896,18209446.73540612
32,32,2002,3819708.3622962963,1168578.7547254737,1168576.6963806918,1168577.050628106,35800402.777777776
32,32,2003,4484531.938958333,1168581.0650022607,1168582.652982735,1168579.985191411,20865111.845814593
32,32,2004,16913422.85672685,1171777.3639416331,1171783.3082327032,1171781.1790351227,34344603.581913635
32,32,2005,15249598.009503681,1168579.506538318,1168578.471527342,1168577.8874621324,38659805.187494755
32,32,2006,11874313.288286515,1168576.5336655572,1168574.6556414147,1168579.6282811572,27474914.99245685
32,32,2007,4739676.765212962,1168581.9926660927,1168577.069293787,1168577.8395654745,50929830.7562959
32,32,2008,11737153.282787038,1173382.8078107708,1173380.6932345452,1173386.2247835982,24375463.20785905
32,32,2009,3282750.2890046295,1166979.9474814232,1166979.8145779488,1166979.315002354,47438584.57396242
32,32,2010,4436105.056798611,1168582.726442954,1168580.7187814624,1168581.5808925277,54695078.998323694
32,32,2011,14367320.001946758,1168573.1124164397,1168572.8400483483,1168573.0990085625,31212579.265468933
32,32,2012,9450468.110350436,1172575.1396991208,1172578.473918011,1172575.6574549042,38776291.328060575
32,32,2013,17585367.843292,1167907.4860188926,1167770.8906222319,1167778.5018033031,29722892.450404238
32,32,2014,2958291.0159351854,1168448.2559706073,1168581.009080106,1168580.928628509,66152043.09767867
32,32,2015,7926988.497071759,1168574.31787487,1168576.063487187,1168577.669343379,42899162.03703704
32,32,2016,0.0,1171777.529966259,1171781.5535018996,1171783.5716129802,35643874.0783123
32,32,2017,7431504.088840278,1168584.91833603,1168581.6996764683,1168579.695763563,16582067.70920666
32,32,2018,11800809.692243055,1168588.2476587186,1168584.9582667446,1168587.2080715625,54529585.890624605
32,32,2019,6776171.053381945,1168580.0698268693,1168586.0900779816,1168582.129301089,27431299.930162445
32,32,2020,6588551.427791667,1171783.5820885994,1171781.1280130628,1171784.080511485,32469994.4532747
33,33,2000,11166414.46548148,1168560.6674226427,1168563.7712045615,1168558.912457918,37793384.9231135
33,33,2001,13640157.52625463,1168574.761975984,1168578.9319296654,1168571.3717635602,40780356.481481485
33,33,2002,6648936.391868055,1168579.3974441811,1168580.2628333243,1168576.0274045335,16872244.030189563
33,33,2003,4799469.966131944,1168585.2590446498,1168585.2885933407,1168585.644533807,22158347.222222224
33,33,2004,0.0,1171779.94159768,1171783.9876406216,1171782.2655964573,26230051.40150354
33,33,2005,7015595.077266203,1168573.3540764458,1168574.2106976262,1168577.039387623,50787461.9399665
33,33,2006,4865113.806569445,1168577.591724523,1168578.1654222365,1168573.226598954,24731550.925925925
33,33,2007,2733421.0161203705,1168572.7689675505,1168574.5253897267,1168578.4700274977,57349284.02230324
33,33,2008,7921109.818949802,1173382.7451767654,1173376.614626857,1173374.7258259614,39957545.794173315
33,33,2009,5464974.62869213,1166976.8103073027,1166982.2446889614,1166986.5071921253,44328441.62207749
33,33,2010,0.0,1168579.9906175616,1168578.522757019,1168579.42997229,61556310.48547136
33,33,2011,8089170.680900463,1168569.783675008,1168570.0070941555,1168568.472398059,32506589.673426285
33,33,2012,5359311.40906713,1172575.3667488527,1171768.8578651485,1172570.1677962448,24899107.42858163
33,33,2013,14341151.23024537,1167773.1002736718,1168579.7877707954,1167909.997353284,39375271.66665798
33,33,2014,8746985.21375,1168579.02333424,1168577.2988423419,1168448.419273866,8095875.0
33,33,2015,5067547.050444444,1168580.631311666,1168579.1089483022,1168581.150920011,46974897.027975485
33,33,2016,797272.4531666667,1171784.8716096217,1171788.9242039986,1171783.9568263218,9148580.302467331
33,33,2017,8955467.281974537,1168582.4006105275,1168579.7271592913,1168583.3858558876,19918435.185185187
33,33,2018,13544342.138796296,1168583.1424502437,1168581.169087228,1168587.976971463,54004674.51520015
33,33,2019,7170092.714055556,1168579.1917449913,1168578.5682333945,1168581.9950728635,32940753.965720814
33,33,2020,12343113.173300926,1171787.2046553213,1171784.4002460812,1171787.9481125178,32206929.296764728
34,34,2000,18182123.987509258,1168568.632061442,1168567.9691137553,1168566.42980662,24454189.814814813
34,34,2001,5957558.839185185,1168571.6255368507,1168573.6071447723,1168573.4163862835,9451444.444444444
34,34,2002,21048172.52561574,1168575.933327667,1168574.6943433124,1168573.791053162,23933985.82486653
34,34,2003,16127809.8125625,1168581.4663352892,1168584.6460244749,1168582.890120892,8211912.037037037
34,34,2004,6569656.876789352,1171780.279874446,1171779.5913763402,1171775.7072349756,36728463.83903981
34,34,2005,19582154.645771757,1168576.9572710881,1168581.0779140284,1168578.9934568882,59046958.333333336
34,34,2006,20307991.260460645,1168571.5345347098,1168575.779909416,1168577.9745617732,16221402.777777778
34,34,2007,3465532.5299166664,1168580.516105217,1168573.7139578913,1168571.6978835869,45881392.20178519
34,34,2008,7541719.976907407,1173383.567097787,1173385.832543714,1173384.2370562898,16949439.814814813
34,34,2009,9397469.699187499,1166981.2603277573,1166979.7375720667,1166982.9518535703,15109847.222222222
34,34,2010,12061272.012907408,1168585.6196949696,1168584.2903385232,1168586.9581680498,28662481.48148148
34,34,2011,6316566.473571759,1168574.7309533637,1168569.269987278,1168572.4863710809,27220567.555190805
34,34,2012,10444323.846662037,1171772.3440591595,1171773.2641474458,1171771.4489141915,47097600.210546836
34,34,2013,8381339.78319213,1168572.7134451626,1168569.9093786227,1168569.942603323,26027477.632756937
34,34,2014,21792700.489164103,1168575.126759834,1168571.5267786284,1168577.7814547624,48374327.6946298
34,34,2015,5804861.613888889,1168576.0535677967,1168576.4286318594,1168578.8307176665,17732328.703703705
34,34,2016,5443685.111703703,1171784.341918127,1171783.9165611218,1171785.0635626463,41758221.6155117
34,34,2017,15368949.813423097,1168581.5702038936,1168579.958185534,1168583.6309187685,55515722.52121779
34,34,2018,3819035.6504050926,1168584.1590370839,1168588.103815641,1168587.5546790108,43932523.963981874
34,34,2019,7547668.313173611,1168583.710145177,1168585.2150854336,1168584.883192629,32690290.268853996
